bias,text
partisan,RT @nowthisnews: Rep. Trey Radel (R- #FL) slams #Obamacare. #politics https://t.co/zvywMG8yIH
partisan,VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF
neutral,Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.
neutral,RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the Senate‰ŰŞs procedural vote today at 5:30 pm
partisan,.@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u
partisan,Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2)
neutral,"@BBCWorld, help us keep the kidnapped Nigerian school girls' story out front. #BringBackOurGirls #JoinRepWilson http://t.co/ZqZVT80mga"
neutral,Show your Arizona pride-choose your favorite S. AZ picture for my Facebook cover photo! Retweet to spread the word! https://t.co/7PHHigA8nd
neutral,What a wonderful night at State Senator Ken Yager‰ŰŞs Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR
partisan,"Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines"
partisan,"As POTUS golfs, pushes amnesty &amp; ignores Keystone, American people are concerned about jobs, econ &amp; health care costs http://t.co/p9sPDYOAca"
partisan,The President doesn‰ŰŞt get to just decide he doesn‰ŰŞt like Congress and do his own thing: http://t.co/jmclKjUzSG
neutral,"FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets."
neutral,RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g
neutral,"@SkitchP Wouldn't wish that on anyone. Even you, Skitch."
partisan,"At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets."
neutral,"""...if you have come because your liberation is bound up with mine, then let us work together."" ‰ŰŇ Lilla Watson http://t.co/6WPXW9QUM0"
neutral,"For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled"
neutral,The House will vote this week to #DefundObamacare and keep the government open.
partisan,Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT
neutral,A great look back at at Idaho Native American tribes in 1863. #idpol #idaho150 Via @KTVB http://t.co/JsxSWVpDPv
neutral,"#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon"
neutral,RT if you agree: It's time to #ActOnClimate change ‰ Ő more info on the #NCA2014 released today at http://t.co/SdCnKyUDVJ
neutral,We will vote on the Working Families Flexibility Act. Would you like the flexibility to choose how you're comp'd for overtime? #YourTime
